    3	breach	breach	NOUN	NN	Number=Sing	13	nsubj	_	FUN=breach_N
    9	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	13	cop	_	FUN=UseComp
    10	a	a	DET	DT	Definite=Ind|PronType=Art	13	det	_	FUN=a_Det
    11	notifiable	notifiable	ADJ	JJ	Degree=Pos	13	amod	_	FUN=notifiable_A
    12	data	data	NOUN	NN	Number=Sing	13	compound	_	FUN=data_N

7	breach	breach	NOUN	NN	Number=Sing	0	root	_	FUN=breach_N
    3	breach	breach	NOUN	NN	Number=Sing	7	nsubj	_	FUN=breach_N
    4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	7	cop	_	FUN=UseComp
    5	a	a	DET	DT	Definite=Ind|PronType=Art	7	det	_	FUN=a_Det
    6	notifiable	notifiable	ADJ	JJ	Degree=Pos	7	amod	_	FUN=notifiable_A
    10	falls	fall	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	7	advcl	_	FUN=fallVBZ

8	deemed	deem	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass	0	root	_	FUN=deemVBN
    3	breach	breach	NOUN	NN	Number=Sing	8	nsubj:pass	_	FUN=breach_N
    7	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	8	aux:pass	_	FUN=UseComp
    9	not	not	PART	RB	_	8	advmod	_	_
    15	breach	breach	NOUN	NN	Number=Sing	8	xcomp	_	FUN=breach_N

13	required	require	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass	0	root	_	FUN=requireVBN
    8	organisation	organisation	NOUN	NN	Number=Sing	13	advcl	_	FUN=organisation_N
    9	,	,	PUNCT	,	_	13	punct	_	_
    11	notice	notice	NOUN	NN	Number=Sing	13	nsubj:pass	_	FUN=notice_N
    12	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	13	aux:pass	_	FUN=UseComp

4	required	require	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass	0	root	_	FUN=requireVBN
    1	Notification	notification	NOUN	NN	Number=Sing	4	nsubj:pass	_	FUN=notification_N
    2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	4	aux:pass	_	FUN=UseComp
    3	not	not	PART	RB	_	4	advmod	_	_
    12	organisation	organisation	NOUN	NN	Number=Sing	4	advcl	_	FUN=organisation_N

28	conduct	conduct	VERB	VB	VerbForm=Inf	0	root	_	FUN=conductVB
    4	has	have	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	28	advcl	_	FUN=haveVBZ
    24	,	,	PUNCT	,	_	28	punct	_	_
    26	organisation	organisation	NOUN	NN	Number=Sing	28	nsubj	_	FUN=organisation_N
    27	must	must	AUX	MD	VerbForm=Fin	28	aux	_	_
    29	,	,	PUNCT	,	_	28	punct	_	_
    35	manner	manner	NOUN	NN	Number=Sing	28	obl	_	FUN=manner_N
    36	,	,	PUNCT	,	_	28	punct	_	_
    38	assessment	assessment	NOUN	NN	Number=Sing	28	obj	_	FUN=assessment_N
    49	.	.	PUNCT	.	_	28	punct	_	_

5	aware	aware	ADJ	JJ	Degree=Pos	0	root	_	FUN=aware_A
    3	organisation	organisation	NOUN	NN	Number=Sing	5	nsubj	_	FUN=organisation_N
    4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	5	cop	_	FUN=UseComp
    9	breach	breach	NOUN	NN	Number=Sing	5	obl	_	FUN=breach_N
    10	,	,	PUNCT	,	_	5	punct	_	_
    13	assess	assess	VERB	VB	VerbForm=Inf	5	parataxis	_	FUN=assessVB

5	aware	aware	ADJ	JJ	Degree=Pos	0	root	_	FUN=aware_A
    3	organisation	organisation	NOUN	NN	Number=Sing	5	nsubj	_	FUN=organisation_N
    4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	5	cop	_	FUN=UseComp
    9	breach	breach	NOUN	NN	Number=Sing	5	obl	_	FUN=breach_N
    10	,	,	PUNCT	,	_	5	punct	_	_
    13	assess	assess	VERB	VB	VerbForm=Inf	5	parataxis	_	FUN=assessVB

5	one	one	NUM	CD	NumType=Card	0	root	_	_
    3	intermediary	intermediary	NOUN	NN	Number=Sing	5	nsubj	_	FUN=intermediary_N
    4	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	5	cop	_	FUN=UseComp
    8	processing	processe	VERB	VBG	Tense=Pres|VerbForm=Part	5	acl:relcl	_	FUN=processeVBG

11	check	check	NOUN	NN	Number=Sing	0	root	_	FUN=check_N
    3	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	11	advcl	_	FUN=beVBZ
    7	,	,	PUNCT	,	_	11	punct	_	_
    8	the	the	DET	Quant	FORM=0	11	det	_	FUN=DefArt
    9	organisation	organisation	NOUN	NN	Number=Sing	11	compound	_	FUN=organisation_N
    10	much	much	ADJ	JJ	Degree=Pos	11	amod	_	FUN=much_A
    14	needs	need	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	11	advcl	_	FUN=needVBZ

13	notify	notify	VERB	VB	VerbForm=Inf	0	root	_	FUN=notifyVB
    3	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	13	advcl	_	FUN=beVBZ
    7	,	,	PUNCT	,	_	13	punct	_	_
    10	intermediary	intermediary	NOUN	NN	Number=Sing	13	nsubj	_	FUN=intermediary_N
    11	must	must	AUX	MD	VerbForm=Fin	13	aux	_	_
    12	immediately	immediately	ADV	RB	_	13	advmod	_	_
    15	organisation	organisation	NOUN	NN	Number=Sing	13	obj	_	FUN=organisation_N

3	must	must	NOUN	NN	Number=Sing	0	root	_	FUN=must_N
    1	the	the	DET	Quant	FORM=0	3	det	_	FUN=DefArt
    2	organisation	organisation	NOUN	NN	Number=Sing	3	compound	_	FUN=organisation_N
    4	,	,	PUNCT	,	_	3	punct	_	_
    6	notification	notification	NOUN	NN	Number=Sing	3	nmod	_	FUN=notification_N
    11	,	,	PUNCT	,	_	3	punct	_	_
    12	conduct	conduct	VERB	VB	Mood=Imp|VerbForm=Fin	3	parataxis	_	FUN=conductVB

13	assess	assess	VERB	VB	VerbForm=Inf	0	root	_	FUN=assessVB
    5	notified	notify	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass	13	advcl	_	FUN=notifyVBN
    10	,	,	PUNCT	,	_	13	punct	_	_
    11	it	it	PRON	PRP	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	13	nsubj	_	FUN=PRONPRP
    12	must	must	AUX	MD	VerbForm=Fin	13	aux	_	_
    19	breach	breach	NOUN	NN	Number=Sing	13	ccomp	_	FUN=breach_N

12	check	check	VERB	VB	VerbForm=Inf	0	root	_	FUN=checkVB
    4	knows	know	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	12	advcl	_	FUN=knowVBZ
    9	,	,	PUNCT	,	_	12	punct	_	_
    10	it	it	PRON	PRP	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	12	nsubj	_	FUN=PRONPRP
    11	must	must	AUX	MD	VerbForm=Fin	12	aux	_	_
    18	breach	breach	NOUN	NN	Number=Sing	12	advcl	_	FUN=breach_N

